Date,Actual,Predicted
2023-12-28,79.04,79.77153
2023-12-29,77.69,79.053825
2023-12-30,77.69,76.68272
2023-12-31,77.69,76.55624
2024-01-01,77.69,76.73225
2024-01-02,76.24,77.10069
2024-01-03,77.18,75.35021
2024-01-04,75.79,76.24356
2024-01-05,78.31,76.854095
2024-01-06,78.31,79.41633
2024-01-07,78.31,76.64025
2024-01-08,75.47,79.58919
2024-01-09,77.97,75.89542
2024-01-10,78.46,76.955124
2024-01-11,80.21,77.64375
2024-01-12,79.89,80.18129
2024-01-13,79.89,78.459305
2024-01-14,79.89,78.2625
2024-01-15,79.76,79.40293
2024-01-16,80.15,78.18407
2024-01-17,78.88,78.00625
2024-01-18,81.04,78.63098
2024-01-19,80.71,79.982155
2024-01-20,80.71,80.48135
2024-01-21,80.71,81.23327
2024-01-22,81.7,80.89179
2024-01-23,82.04,83.500206
2024-01-24,82.15,81.42519
2024-01-25,82.33,82.864235
2024-01-26,83.34,83.258514
2024-01-27,83.34,83.63998
2024-01-28,83.34,84.19975
2024-01-29,83.99,83.77498
2024-01-30,84.14,82.928505
2024-01-31,82.98,82.9398
2024-02-01,82.2,82.69207
2024-02-02,79.54,82.58598
2024-02-03,79.54,80.65871
2024-02-04,79.54,80.25111
2024-02-05,79.3,81.66182
2024-02-06,80.46,78.09824
2024-02-07,81.18,79.68462
2024-02-08,83.01,80.73524
2024-02-09,83.58,83.30776
2024-02-10,83.58,83.64658
2024-02-11,83.58,76.407104
2024-02-12,83.88,78.00287
2024-02-13,84.72,84.485565
2024-02-14,84.41,82.9398
2024-02-15,84.33,84.20023
2024-02-16,84.88,85.02652
2024-02-17,84.88,85.70638
2024-02-18,84.88,85.70638
2024-02-19,85.52,85.70638
2024-02-20,84.78,85.9532
2024-02-21,84.77,86.262764
2024-02-22,85.84,84.61396
2024-02-23,84.18,86.6682
2024-02-24,84.18,83.232864
2024-02-25,84.18,84.61396
2024-02-26,84.01,86.05072
2024-02-27,83.8,82.22738
2024-02-28,84.08,83.56206
2024-02-29,84.57,84.58029
2024-03-01,84.82,84.50255
2024-03-02,84.82,86.06662
2024-03-03,84.82,85.02652
2024-03-04,86.58,85.70638
2024-03-05,85.82,87.063286
2024-03-06,86.59,86.09112
2024-03-07,84.88,88.95668
2024-03-08,84.29,83.388466
2024-03-09,84.29,84.572174
2024-03-10,84.29,83.07451
2024-03-11,83.44,84.432236
2024-03-12,83.66,83.56206
2024-03-13,83.95,83.78307
2024-03-14,86.16,83.646835
2024-03-15,85.39,86.280815
2024-03-16,85.39,86.66786
2024-03-17,85.39,85.215675
2024-03-18,86.47,85.86391
2024-03-19,87.36,86.083466
2024-03-20,85.77,87.127266
2024-03-21,84.92,85.29075
2024-03-22,84.87,86.00502
2024-03-23,84.87,84.94339
2024-03-24,84.87,84.85433
2024-03-25,86.18,82.22738
2024-03-26,85.91,87.063286
2024-03-27,84.94,86.09112
2024-03-28,86.17,85.23383
2024-03-29,86.17,88.575745
2024-03-30,86.17,86.984795
2024-03-31,86.17,87.707794
2024-04-01,86.17,86.455795
2024-04-02,87.63,87.35919
2024-04-03,90.6,87.35919
2024-04-04,90.32,91.248764
2024-04-05,92.81,90.91905
2024-04-06,92.81,93.73459
2024-04-07,92.81,96.210625
2024-04-08,91.73,93.61569
2024-04-09,92.13,91.610954
2024-04-10,91.57,92.11006
2024-04-11,91.49,91.37249
2024-04-12,93.12,91.14623
2024-04-13,93.12,94.57944
2024-04-14,93.12,94.75038
2024-04-15,90.84,94.52614
2024-04-16,91.29,88.611305
2024-04-17,89.54,90.90246
2024-04-18,88.34,89.46003
2024-04-19,87.96,90.58742
2024-04-20,87.96,87.15862
2024-04-21,87.96,90.31373
2024-04-22,87.3,87.33489
2024-04-23,88.29,87.35919
2024-04-24,89.02,87.35919
2024-04-25,88.1,89.66563
2024-04-26,89.95,87.91388
2024-04-27,89.95,90.57058
2024-04-28,89.95,88.595345
2024-04-29,88.44,90.554886
2024-04-30,88.23,89.25423
2024-05-01,83.55,88.65008
2024-05-02,84.81,80.04371
2024-05-03,83.6,83.28082
2024-05-04,83.6,82.67211
2024-05-05,83.6,84.91468
2024-05-06,83.6,82.88296
2024-05-07,82.69,83.55533
2024-05-08,82.44,82.631805
2024-05-09,83.27,84.126686
2024-05-10,83.39,83.33988
2024-05-11,83.39,83.261536
2024-05-12,83.39,83.77498
2024-05-13,83.18,82.842705
2024-05-14,81.0,83.26395
2024-05-15,79.98,80.432434
2024-05-16,81.65,79.39506
2024-05-17,82.24,81.49951
2024-05-18,82.24,82.642265
2024-05-19,82.24,82.00939
2024-05-20,81.91,82.464264
2024-05-21,81.22,83.258514
2024-05-22,79.9,83.32192
2024-05-23,79.25,80.7827
2024-05-24,78.92,80.61898
2024-05-25,78.92,79.93917
2024-05-26,78.92,77.96944
2024-05-27,78.92,80.787674
2024-05-28,81.34,80.787674
2024-05-29,81.5,79.46662
2024-05-30,81.42,80.48135
2024-05-31,79.41,81.32935
2024-06-01,79.41,79.79684
2024-06-02,79.41,79.33847
2024-06-03,76.45,79.048454
2024-06-04,75.33,76.165215
2024-06-05,75.41,76.548355
2024-06-06,77.62,76.35689
2024-06-07,78.12,77.29678
2024-06-08,78.12,76.04078
2024-06-09,78.12,77.509285
2024-06-10,79.59,77.780945
2024-06-11,80.15,79.347466
2024-06-12,80.52,79.832405
2024-06-13,81.44,82.63166
2024-06-14,81.49,82.36087
2024-06-15,81.49,81.32935
2024-06-16,81.49,80.45625
2024-06-17,82.45,79.77153
2024-06-18,84.79,83.500206
2024-06-19,85.64,85.20467
2024-06-20,85.92,85.03049
2024-06-21,86.42,84.25604
2024-06-22,86.42,88.04926
2024-06-23,86.42,87.17346
2024-06-24,86.75,87.707794
2024-06-25,86.81,86.455795
2024-06-26,85.76,87.35919
2024-06-27,87.0,84.32821
2024-06-28,87.26,87.4445
2024-06-29,87.26,87.14608
2024-06-30,87.26,87.673775
2024-07-01,86.57,86.455795
2024-07-02,88.28,87.35919
2024-07-03,88.25,87.35919
2024-07-04,88.34,87.35919
2024-07-05,88.66,87.35919
2024-07-06,88.66,87.35919
2024-07-07,88.66,87.35919
2024-07-08,87.15,87.35919
2024-07-09,86.48,87.35919
2024-07-10,86.55,87.35919
2024-07-11,86.49,87.35919
2024-07-12,87.35,87.35919
2024-07-13,87.35,87.35919
2024-07-14,87.35,87.35919
2024-07-15,86.42,87.35919
2024-07-16,86.6,87.35919
2024-07-17,85.76,87.35919
2024-07-18,86.26,84.32821
2024-07-19,85.19,87.4445
2024-07-20,85.19,83.939026
2024-07-21,85.19,85.43731
2024-07-22,83.44,86.01767
2024-07-23,82.2,82.90616
2024-07-24,83.01,82.0068
2024-07-25,82.58,82.51367
2024-07-26,81.35,81.56332
2024-07-27,81.35,80.146194
2024-07-28,81.35,80.73364
2024-07-29,80.94,81.11695
2024-07-30,79.26,82.63282
2024-07-31,81.39,79.053825
2024-08-01,81.37,80.36889
2024-08-02,78.35,80.37574
2024-08-03,78.35,77.926704
2024-08-04,78.35,78.259995
2024-08-05,77.51,78.06277
2024-08-06,76.62,77.30206
2024-08-07,78.26,76.37523
2024-08-08,80.76,79.3979
2024-08-09,81.07,81.45227
2024-08-10,81.07,81.37209
2024-08-11,81.07,80.498764
2024-08-12,83.06,80.89179
2024-08-13,82.51,82.36759
